"#name Monster","#unique id","","","","","","","","","","","","","","","","","","","","","","","",""
"id","name","identity","scale","level","type","attribute","maxHurt","refreshTime","huntingRange","chaseRange","outOfRange","revitalize","produce","randomProduce","skills","superArmor","fighting"
"7002652","东方教主","1030003","150","81","2","202#65050#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","133947"
"7002653","程咬金","1030002","150","81","2","202#66599#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","133947"
"7002654","天蓬","1030001","150","81","2","202#68148#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","133947"
"7002655","天蓬","1030001","150","81","2","202#69697#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","135108"
"7002656","水神共工","1030017","150","81","2","202#71246#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","135108"
"7002657","后羿","1030012","150","81","2","202#72795#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","135108"
"7002658","天蓬","1030001","150","81","2","202#74343#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","135108"
"7002659","程咬金","1030002","150","81","2","202#75892#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","135108"
"7002660","程咬金","1030002","150","81","2","202#77441#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","136269"
"7002661","东方教主","1030003","150","81","2","202#78990#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","136269"
"7002662","后羿","1030012","150","81","2","202#80539#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","136269"
"7002663","程咬金","1030002","150","81","2","202#82087#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","136269"
"7002664","后羿","1030012","150","81","2","202#83636#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","136269"
"7002665","程咬金","1030002","150","81","2","202#85185#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","137430"
"7002666","水神共工","1030017","150","81","2","202#86734#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","137430"
"7002667","水神共工","1030017","150","81","2","202#88283#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","137430"
"7002668","天蓬","1030001","150","81","2","202#89832#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","137430"
"7002669","东方教主","1030003","150","81","2","202#91380#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","137430"
"7002670","伏羲","1040004","150","81","2","202#92929#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4404101#1|4404201#1|4404301#1","","138618"
"7002671","帝释天","1040005","150","81","2","202#94478#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4405101#1|4405201#1|4405301#1","","138618"
"7002672","轩辕","1040002","150","81","2","202#96027#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4402101#1|4402201#1|4402301#1","","138618"
"7002673","伏羲","1040004","150","81","2","202#97576#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4404101#1|4404201#1|4404301#1","","138618"
"7002674","九天玄女","1040013","150","81","2","202#99124#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4413101#1|4413201#1|4413301#1","","138618"
"7002675","天蓬","1030001","150","81","2","202#61953#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","139779"
"7002676","东方教主","1030003","150","81","2","202#63502#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","139779"
"7002677","东方教主","1030003","150","81","2","202#65050#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","139779"
"7002678","程咬金","1030002","150","81","2","202#66599#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","139779"
"7002679","天蓬","1030001","150","81","2","202#68148#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","139779"
"7002680","天蓬","1030001","150","81","2","202#69697#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","140940"
"7002681","水神共工","1030017","150","81","2","202#71246#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","140940"
"7002682","后羿","1030012","150","81","2","202#72795#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","140940"
"7002683","天蓬","1030001","150","81","2","202#74343#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","140940"
"7002684","程咬金","1030002","150","81","2","202#75892#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","140940"
"7002685","程咬金","1030002","150","81","2","202#77441#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","142101"
"7002686","东方教主","1030003","150","81","2","202#78990#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","142101"
"7002687","后羿","1030012","150","81","2","202#80539#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","142101"
"7002688","程咬金","1030002","150","81","2","202#82087#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","142101"
"7002689","后羿","1030012","150","81","2","202#83636#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","142101"
"7002690","程咬金","1030002","150","81","2","202#85185#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","143262"
"7002691","水神共工","1030017","150","81","2","202#86734#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","143262"
"7002692","水神共工","1030017","150","81","2","202#88283#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","143262"
"7002693","天蓬","1030001","150","81","2","202#89832#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","143262"
"7002694","东方教主","1030003","150","81","2","202#91380#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","143262"
"7002695","女娲","1040011","150","81","2","202#92929#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4411101#1|4411201#1|4411301#1","","144450"
"7002696","帝释天","1040005","150","81","2","202#94478#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4405101#1|4405201#1|4405301#1","","144450"
"7002697","白泽","1040009","150","81","2","202#96027#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4409101#1|4409201#1|4409301#1","","144450"
"7002698","女娲","1040011","150","81","2","202#97576#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4411101#1|4411201#1|4411301#1","","144450"
"7002699","西王母","1040012","150","81","2","202#99124#|203#611|217#250|211#5000|243#4000|209#5000|210#4000","0","-1","800","800","1500","","","","4412101#1|4412201#1|4412301#1","","144450"
"7002700","天蓬","1030001","150","82","2","202#62493#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","145611"
"7002701","东方教主","1030003","150","82","2","202#64056#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","145611"
"7002702","东方教主","1030003","150","82","2","202#65618#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","145611"
"7002703","程咬金","1030002","150","82","2","202#67180#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","145611"
"7002704","天蓬","1030001","150","82","2","202#68743#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","145611"
"7002705","天蓬","1030001","150","82","2","202#70305#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","146772"
"7002706","水神共工","1030017","150","82","2","202#71867#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","146772"
"7002707","后羿","1030012","150","82","2","202#73430#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","146772"
"7002708","天蓬","1030001","150","82","2","202#74992#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","146772"
"7002709","程咬金","1030002","150","82","2","202#76554#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","146772"
"7002710","程咬金","1030002","150","82","2","202#78116#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","147933"
"7002711","东方教主","1030003","150","82","2","202#79679#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","147933"
"7002712","后羿","1030012","150","82","2","202#81241#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","147933"
"7002713","程咬金","1030002","150","82","2","202#82803#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","147933"
"7002714","后羿","1030012","150","82","2","202#84366#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","147933"
"7002715","程咬金","1030002","150","82","2","202#85928#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","149094"
"7002716","水神共工","1030017","150","82","2","202#87490#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","149094"
"7002717","水神共工","1030017","150","82","2","202#89053#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","149094"
"7002718","天蓬","1030001","150","82","2","202#90615#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","149094"
"7002719","东方教主","1030003","150","82","2","202#92177#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","149094"
"7002720","伏羲","1040004","150","82","2","202#93740#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4404101#1|4404201#1|4404301#1","","150282"
"7002721","女娲","1040011","150","82","2","202#95302#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4411101#1|4411201#1|4411301#1","","150282"
"7002722","乔帮主","1040014","150","82","2","202#96864#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4414101#1|4414201#1|4414301#1","","150282"
"7002723","伏羲","1040004","150","82","2","202#98427#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4404101#1|4404201#1|4404301#1","","150282"
"7002724","九天玄女","1040013","150","82","2","202#99989#|203#616|217#250|211#5050|243#4040|209#5050|210#4040","0","-1","800","800","1500","","","","4413101#1|4413201#1|4413301#1","","150282"
"7002725","天蓬","1030001","150","83","2","202#63025#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","151443"
"7002726","东方教主","1030003","150","83","2","202#63813#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","151443"
"7002727","东方教主","1030003","150","83","2","202#64601#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","151443"
"7002728","程咬金","1030002","150","83","2","202#65389#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","151443"
"7002729","天蓬","1030001","150","83","2","202#66176#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","151443"
"7002730","天蓬","1030001","150","83","2","202#66964#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","152604"
"7002731","水神共工","1030017","150","83","2","202#67752#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","152604"
"7002732","后羿","1030012","150","83","2","202#68540#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","152604"
"7002733","天蓬","1030001","150","83","2","202#69328#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","152604"
"7002734","程咬金","1030002","150","83","2","202#70116#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","152604"
"7002735","程咬金","1030002","150","83","2","202#70903#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","153765"
"7002736","东方教主","1030003","150","83","2","202#71691#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","153765"
"7002737","后羿","1030012","150","83","2","202#72479#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","153765"
"7002738","程咬金","1030002","150","83","2","202#73267#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","153765"
"7002739","后羿","1030012","150","83","2","202#74055#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","153765"
"7002740","程咬金","1030002","150","83","2","202#74842#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","154926"
"7002741","水神共工","1030017","150","83","2","202#75630#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","154926"
"7002742","水神共工","1030017","150","83","2","202#76418#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","154926"
"7002743","天蓬","1030001","150","83","2","202#77206#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","154926"
"7002744","东方教主","1030003","150","83","2","202#77994#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","154926"
"7002745","九天玄女","1040013","150","83","2","202#78782#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4413101#1|4413201#1|4413301#1","","156114"
"7002746","西王母","1040012","150","83","2","202#79569#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4412101#1|4412201#1|4412301#1","","156114"
"7002747","轩辕","1040002","150","83","2","202#80357#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4402101#1|4402201#1|4402301#1","","156114"
"7002748","火神祝融","1040003","150","83","2","202#81145#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4403101#1|4403201#1|4403301#1","","156114"
"7002749","女娲","1040011","150","83","2","202#81933#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4411101#1|4411201#1|4411301#1","","156114"
"7002750","天蓬","1030001","150","83","2","202#82721#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","157275"
"7002751","东方教主","1030003","150","83","2","202#83508#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","157275"
"7002752","东方教主","1030003","150","83","2","202#84296#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","157275"
"7002753","程咬金","1030002","150","83","2","202#85084#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","157275"
"7002754","天蓬","1030001","150","83","2","202#85872#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","157275"
"7002755","天蓬","1030001","150","83","2","202#86660#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","158436"
"7002756","水神共工","1030017","150","83","2","202#87447#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","158436"
"7002757","后羿","1030012","150","83","2","202#88235#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","158436"
"7002758","天蓬","1030001","150","83","2","202#89023#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","158436"
"7002759","程咬金","1030002","150","83","2","202#89811#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","158436"
"7002760","程咬金","1030002","150","83","2","202#90599#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","159597"
"7002761","东方教主","1030003","150","83","2","202#91387#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","159597"
"7002762","后羿","1030012","150","83","2","202#92174#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","159597"
"7002763","程咬金","1030002","150","83","2","202#92962#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","159597"
"7002764","后羿","1030012","150","83","2","202#93750#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","159597"
"7002765","程咬金","1030002","150","83","2","202#94538#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","160758"
"7002766","水神共工","1030017","150","83","2","202#95326#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","160758"
"7002767","水神共工","1030017","150","83","2","202#96113#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","160758"
"7002768","天蓬","1030001","150","83","2","202#96901#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","160758"
"7002769","东方教主","1030003","150","83","2","202#97689#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","160758"
"7002770","昊天","1040001","150","83","2","202#63025#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4401101#1|4401201#1|4401301#1","","161946"
"7002771","轩辕","1040002","150","83","2","202#63813#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4402101#1|4402201#1|4402301#1","","161946"
"7002772","火神祝融","1040003","150","83","2","202#64601#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4403101#1|4403201#1|4403301#1","","161946"
"7002773","乔帮主","1040014","150","83","2","202#65389#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4414101#1|4414201#1|4414301#1","","161946"
"7002774","西王母","1040012","150","83","2","202#66176#|203#621|217#250|211#5100|243#4080|209#5100|210#4080","0","-1","800","800","1500","","","","4412101#1|4412201#1|4412301#1","","161946"
"7002775","天蓬","1030001","150","84","2","202#67538#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","163107"
"7002776","东方教主","1030003","150","84","2","202#68333#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","163107"
"7002777","东方教主","1030003","150","84","2","202#69128#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","163107"
"7002778","程咬金","1030002","150","84","2","202#69922#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","163107"
"7002779","天蓬","1030001","150","84","2","202#70717#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","163107"
"7002780","天蓬","1030001","150","84","2","202#71511#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","164268"
"7002781","水神共工","1030017","150","84","2","202#72306#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","164268"
"7002782","后羿","1030012","150","84","2","202#73100#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","164268"
"7002783","天蓬","1030001","150","84","2","202#73895#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","164268"
"7002784","程咬金","1030002","150","84","2","202#74690#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","164268"
"7002785","程咬金","1030002","150","84","2","202#75484#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","165429"
"7002786","东方教主","1030003","150","84","2","202#76279#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","165429"
"7002787","后羿","1030012","150","84","2","202#77073#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","165429"
"7002788","程咬金","1030002","150","84","2","202#77868#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","165429"
"7002789","后羿","1030012","150","84","2","202#78662#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4312101#1|4312201#1|4312301#1","","165429"
"7002790","程咬金","1030002","150","84","2","202#79457#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4302101#1|4302201#1|4302301#1","","166590"
"7002791","水神共工","1030017","150","84","2","202#80252#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","166590"
"7002792","水神共工","1030017","150","84","2","202#81046#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4317101#1|4317201#1|4317301#1","","166590"
"7002793","天蓬","1030001","150","84","2","202#81841#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4301101#1|4301201#1|4301301#1","","166590"
"7002794","东方教主","1030003","150","84","2","202#82635#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4303101#1|4303201#1|4303301#1","","166590"
"7002795","伏羲","1040004","150","84","2","202#83430#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4404101#1|4404201#1|4404301#1","","167778"
"7002796","帝释天","1040005","150","84","2","202#84224#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4405101#1|4405201#1|4405301#1","","167778"
"7002797","轩辕","1040002","150","84","2","202#85019#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4402101#1|4402201#1|4402301#1","","167778"
"7002798","伏羲","1040004","150","84","2","202#85814#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4404101#1|4404201#1|4404301#1","","167778"
"7002799","九天玄女","1040013","150","84","2","202#86608#|203#626|217#250|211#5150|243#4120|209#5150|210#4120","0","-1","800","800","1500","","","","4413101#1|4413201#1|4413301#1","","167778"
"7004001","铁小蓝","1010004","150","1","2","203#102|202#3523|217#500","0","-1","800","800","1500","","","","4104101#1|4104201#1|4104301#1","","1647"
"7004002","明月新","1010005","150","1","2","203#102|202#3523|217#500","0","-1","800","800","1500","","","","4105101#1|4105201#1|4105301#1","","1647"
"7004003","铁小蓝","1010004","150","1","2","203#135|202#4668|217#500","0","-1","800","800","1500","","","","4104101#1|4104201#1|4104301#1","","1755"
"7004004","明月新","1010005","150","1","2","203#135|202#4668|217#500","0","-1","800","800","1500","","","","4105101#1|4105201#1|4105301#1","","1755"
